date_documented,year_found,Season,Country_Code,Country,Location,latitude,longitude,UFO_shape,length_of_encounter_seconds,Description,,,,,,
4/26/2000,2000,Spring,SG,Singapore,Singapore,1.352083,103.819836,Light,900,4 oval white lights circulating in the night sky.,,,,,,
5/4/2004,2000,Spring,VNM,Vietnam,,10.823099,106.629664,Light,5,Two green lights travelling at incredible speed.,,,,,,
8/5/2001,2001,Spring,BRN,Brunei,Bandar Seri Begawan,4.890278,114.942222,Light,20,Light emitting object sighted over Bandar Seri Begawan&#44 Brunei.,,,,,,
10/12/2001,2001,Autumn,KHM,Cambodia,Kranglvea,11.967,104.567,Oval,120,"During the massacre regime 1975-1979, I had seen UFO two time. One, in 1977 when I fell down from the tree, one of my legs was injured�",,,,,,
2/18/2001,2001,Winter,MYS,Malaysia,Perak,4.461934,101.166062,Disk,1500,6 UFOs appeared above an orphange in Malaysia entertaining kids with unique flight formations,,,,,,
2/18/2001,2001,Winter,MYS,Malaysia,Penang,5.41792,100.329597,Disk,1200,Orange UFOs,,,,,,
2/18/2001,2001,Winter,MYS,Malaysia,Selangor,3.509247,101.524805,Circle,300,Round orange light moved across the sky then stopped and got smaller,,,,,,
2/18/2001,2001,Winter,MYS,Malaysia,Selangor,3.010688,101.42114,Formation,900,Triangular formation of 3 crafts in the sky for 15 minutes,,,,,,
8/5/2001,2001,Spring,MYS,Malaysia,Kuala Lumpur,3.139003,101.686855,Sphere,7200,I was in a bedroom when my sister called me and ask me to watch out over a weird object in the sky . Then i go to see it at my verandah,,,,,,
10/12/2001,2001,Autumn,MYS,Malaysia,Perak,4.61175,101.113506,Fireball,1800,2 orange fireball&#44 appears and disappers in like playing with thier lights. Suddenly appears another fireball glowing for few minutes a,,,,,,
4/28/2001,2001,Spring,PHL,Philippines,Las Piñas,14.444546,120.993874,Oval,300,Daytime UFO with Alien on Board.  See pictures at:  www.txtct.com,,,,,,
3/4/2003,2001,Spring,SG,Singapore,Singapore,1.352083,103.819836,Teardrop,600,Two Dots,,,,,,
8/5/2001,2001,Summer,SG,Singapore,Singapore,1.352083,103.819836,Light,600,unusual big bright light in the sky,,,,,,
8/20/2001,2001,Summer,SG,Singapore,Singapore,1.352083,103.819836,Fireball,900,This was reported on Channel News Asia (www.channelnewsasia.com.sg).  http://sg.cna.mediacorpnews.com/articles/2001/08/14/singaporenews,,,,,,
8/28/2002,2001,Autumn,SG,Singapore,Singapore,1.352083,103.819836,Circle,480,they have light all round their carft.,,,,,,
10/12/2001,2001,Autumn,SG,Singapore,Singapore,1.352083,103.819836,Disk,900,&#39UFO&#39 sighted over Jurong West,,,,,,
11/20/2001,2001,Autumn,THA,Thailand,Bangkok,13.727896,100.524123,Circle,15,Round glowing circular object moving very fast toward western over Bangkok sky in Thailand. High altitude&#44 very rapidly moving lights.,,,,,,
7/16/2006,2001,Summer,THA,Thailand,Songkhla Province,7.189766,100.595381,Chevron,5,green bright light &#44high luminescence &#44flew from east to west,,,,,,
10/15/2002,2002,Spring,BRN,Brunei,Bandar Seri Begawan,4.890278,114.942222,Fireball,300,Spotted glowing green translucent object near Chung Hwa Middle School in Brunei Darussalam.,,,,,,
9/28/2002,2002,Autumn,IDN,Indonesia,North Sumatra,3.591541,98.6693,Triangle,300,Silent&#44 bright&#44 triangle shape&#44 high spped and high altitude,,,,,,
12/23/2002,2002,Autumn,MYS,Malaysia,Kuala Lumpur,3.139003,101.686855,Fireball,900,it was a red light fire ball that move slowly through the city in malaysia,,,,,,
10/15/2002,2002,Autumn,MYS,Malaysia,Sabah,5.976474,116.115777,Other,180,US training in Borneo islands or just another strange sights&#33&#33&#33&#33,,,,,,
6/12/2002,2002,Spring,MYS,Malaysia,Sarawak,4.333131,113.99486,Other,60,I was in my car on my way to town with my mum and brother when i look out the car and saw something in the sky to the west. At first i,,,,,,
8/16/2002,2002,Summer,MYS,Malaysia,Selangor,3.107094,101.608255,Light,600,UFO Three&#39s company,,,,,,
9/19/2002,2002,Autumn,MYS,Malaysia,Selangor,3.090607,101.529597,Light,600,Bright  flickering orange lights seen on a clear night sky,,,,,,
10/15/2002,2002,Autumn,PHL,Philippines,Balulang,8.454236,124.631898,Circle,300,My boyfriend and I went outside the firexit stairs on a 4 sorey building&#44 where the fm radio station is. My boyfriend first saw a white,,,,,,
